,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
183,Bring Me The Horizon,AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),track,AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),1,2023-06-01
184,Fall Out Boy,Fake Out,track,So Much (For) Stardust,14,2023-03-24
185,Cole Swindell,Drinkaby,track,Drinkaby,2,2023-01-27
186,Wham!,Last Christmas - Single Version,track,The Singles: Echoes from the Edge of Heaven,16,2023-07-07
187,Tauren Wells,Joy In The Morning,track,Joy In The Morning,3,2023-01-20
188,KANA-BOON,ソングオブザデッド,track,ソングオブザデッド,1,2023-07-09
189,Aimer,残響散歌,track,Open α Door,12,2023-07-26
190,Shane & Shane,You've Already Won - Radio Version,track,You've Already Won (Radio Version),1,2023-02-24
191,Joey Valence & Brae,STARTAFIGHT,track,PUNK TACTICS,14,2023-09-08
192,Josiah and the Bonnevilles,Burn,track,Endurance,13,2023-10-25
193,Jason Aldean,Whose Rearview,track,Highway Desperado,14,2023-11-03
194,Paramore,You First (Re: Remi Wolf),track,Re: This Is Why,12,2023-10-06
195,Arcy Drive,Time Shrinks,track,Time Shrinks,2,2023-09-22
196,lovelytheband,sail away,track,if we're being honest,12,2023-06-02
197,Fall Out Boy,What a Time To Be Alive,track,So Much (For) Stardust,14,2023-03-24
198,Linkin Park,Healing Foot,track,Meteora 20th Anniversary Edition,89,2023-04-07
199,Rawayana,Feriado,track,¿Quién trae las cornetas?,22,2023-09-21
200,Ray Bull,The New Thing Dies,track,Easy Way To Lose,6,2023-10-27
201,Daughtry,ARTIFICIAL,track,ARTIFICIAL,1,2023-08-11
202,Tenacious D,Video Games,track,Video Games,1,2023-05-11
203,Pierce The Veil,12 Fractures,track,The Jaws Of Life,12,2023-02-10
204,Måneskin,OWN MY MIND,track,RUSH!,17,2023-01-20
205,Drive-By Truckers,Goddamn Lonely Love - Remastered,track,The Complete Dirty South,17,2023-06-16
206,Twin Tribes,Monolith,track,Monolith,1,2023-11-03
207,The Elovaters,Endless Summer,track,Endless Summer,14,2023-07-28
208,Imagine Dragons,Children of the Sky (a Starfield song),track,Children of the Sky (a Starfield song),1,2023-08-30
209,Greta Van Fleet,Meeting The Master,track,Starcatcher,10,2023-07-21
210,The Strokes,"I'll Try Anything Once (""You Only Live Once"" demo) - Heart In a Cage B-Side",track,The Singles - Volume 01,21,2023-02-24
211,blink-182,ANTHEM PART 3,track,ONE MORE TIME...,17,2023-10-20
212,Finger Eleven,Slow Chemical,track,Greatest Hits,12,2023-06-16
213,Journey,Ask the Lonely,track,Only the Young (Steve Perry & Bryce Miller Remix),4,2023-10-27
214,Old Dominion,Can't Break Up Now,track,Can't Break Up Now,1,2023-08-18
215,The Beaches,What Doesn't Kill You Makes You Paranoid,track,Blame My Ex,10,2023-09-15
216,Metallica,Shadows Follow,track,72 Seasons,12,2023-04-14
217,Morgan Evans,Over For You,track,Life Upside Down EP,5,2023-04-21
218,Dominic Fike,7 Hours,track,Sunburn,15,2023-07-07
219,We Are Messengers,Wholehearted,track,Wholehearted,1,2023-03-24
220,Brothers Osborne,Nobody's Nobody,track,Brothers Osborne,11,2023-09-15
221,The Elovaters,M.I.A,track,Endless Summer,14,2023-07-28
222,Luke Bryan,But I Got A Beer In My Hand,track,Play It Again: The Songs You Loved In 2023,8,2023-12-01
223,All Time Low,Sleepwalking,track,Tell Me I'm Alive,13,2023-03-17
224,The Green,Summertime,track,Summertime,1,2023-06-21
225,Bleachers,Modern Girl,track,Modern Girl,1,2023-09-20
226,Brothers Osborne,Nobody's Nobody,track,Nobody's Nobody,3,2023-04-07
227,Jon Pardi,Cowboys and Plowboys,track,Cowboys and Plowboys,1,2023-10-13
228,Daisy Jones & The Six,The River,track,AURORA,11,2023-03-02
229,Mac DeMarco,20200819 She Get The Gold Star,track,One Wayne G,199,2023-04-21
230,Dogpark,Now It's Over,track,Now It's Over,1,2023-10-20
231,The Revivalists,Kid,track,Pour It Out Into The Night,12,2023-06-02
232,Foo Fighters,Under You,track,But Here We Are,10,2023-06-02
233,Fall Out Boy,Love From The Other Side,track,Love From The Other Side,2,2023-01-18
234,Joey Valence & Brae,RN,track,PUNK TACTICS,14,2023-09-08
235,Milky Chance,Living In A Haze,track,Living In A Haze,2,2023-03-01
236,Paramore,"Big Man, Little Dignity",track,This Is Why,10,2023-02-10
237,Paramore,Thick Skull,track,This Is Why,10,2023-02-10
238,Dirty Heads,Rescue Me,track,Rescue Me,1,2023-02-24
239,Richy Mitch & The Coal Miners,Careful,track,Careful,1,2023-11-09
240,Ghost,Stay [Feat. Patrick Wilson],track,Stay [Feat. Patrick Wilson],1,2023-07-07
241,NEEDTOBREATHE,Dreams (feat. Judah & The Lion),track,CAVES,11,2023-09-15
242,grandson,Something To Hide,track,"I Love You, I’m Trying",12,2023-05-05
243,Slowdive,kisses,track,everything is alive,8,2023-09-01
244,OneRepublic,Mirage - for Assassin's Creed Mirage,track,Mirage (for Assassin's Creed Mirage),1,2023-09-22
245,Nothing But Thieves,Overcome,track,Dead Club City,11,2023-06-30
246,Gorillaz,Baby Queen,track,Cracker Island,10,2023-02-24
247,Elle King,Jersey Giant,track,Come Get Your Wife,13,2023-01-27
248,Paramore,Liar,track,This Is Why,10,2023-02-10
249,The National,Weird Goodbyes (feat. Bon Iver),track,Laugh Track,12,2023-09-18
250,Metallica,Too Far Gone?,track,72 Seasons,12,2023-04-14
251,Unknown Mortal Orchestra,Swim and Sleep (Like a Shark),track,II (10 Year Anniversary Edition),17,2023-03-16
252,YUNGBLUD,Lowlife,track,Lowlife,1,2023-06-07
253,Mustard Service,The Dominoes,track,Variety Pack,13,2023-08-04
254,Måneskin,READ YOUR DIARY,track,RUSH!,17,2023-01-20
255,Pierce The Veil,"Damn The Man, Save The Empire",track,The Jaws Of Life,12,2023-02-10
256,Fall Out Boy,I Am My Own Muse,track,So Much (For) Stardust,14,2023-03-24
257,Casting Crowns,Praise You In This Storm (feat. Phil Wickham),track,Lifesongs: A Celebration of the First 20 Years,21,2023-09-29
258,Greta Van Fleet,The Falling Sky,track,Starcatcher,10,2023-07-21
259,Friday Pilots Club,Pushing Daisies (Oh My My),track,Pushing Daisies (Oh My My),1,2023-08-03
260,Dustin Lynch,Killed The Cowboy,track,Killed The Cowboy,12,2023-09-29
261,HARRY WAS HERE,stuck.,track,stuck.,1,2023-05-19
262,Phil Wickham,People Of Heaven,track,People Of Heaven,1,2023-07-28
263,Charlie Worsham,How I Learned To Pray (feat. Luke Combs),track,How I Learned To Pray (feat. Luke Combs),1,2023-08-18
264,The Beaches,My Body ft Your Lips,track,Blame My Ex,10,2023-09-15
265,The Revivalists,Good Old Days,track,Pour It Out Into The Night,12,2023-06-02
266,Steve Miller Band,The Joker - Single Version,track,J50: The Evolution Of The Joker (Deluxe),43,2023-09-15
267,Fall Out Boy,"Heaven, Iowa",track,So Much (For) Stardust,14,2023-03-24
268,Portugal. The Man,Summer of Luv (feat. Unknown Mortal Orchestra),track,Chris Black Changed My Life,11,2023-06-23
269,Måneskin,TIMEZONE,track,RUSH!,17,2023-01-20
270,Thirty Seconds To Mars,Stuck,track,Stuck,1,2023-05-08
271,ONE OK ROCK,Make It Out Alive,track,Make It Out Alive,1,2023-08-24
272,Pierce The Veil,Resilience,track,The Jaws Of Life,12,2023-02-10
273,BUMP OF CHICKEN,Sleep Walking Orchestra,track,Sleep Walking Orchestra,1,2023-12-11
274,Dominic Fike,4x4,track,Sunburn,15,2023-07-07
275,Dominic Fike,Hey Blondie,track,Barbie The Album,17,2023-07-21
276,The Beaches,Shower Beer,track,Blame My Ex,10,2023-09-15
277,Ghost,Zenith,track,13 Commandments,13,2023-12-01
278,Big Thief,Born For Loving You,track,Vampire Empire / Born For Loving You,2,2023-09-13
279,100 gecs,Doritos & Fritos,track,"10,000 gecs",10,2023-03-17
280,Josiah and the Bonnevilles,Keeping Love Alive,track,Endurance,13,2023-10-25
281,Casting Crowns,Desert Road,track,Desert Road,1,2023-01-06
282,The Green,Step Out,track,Summertime EP,3,2023-09-01
283,Sum 41,Landmines,track,Landmines,1,2023-09-27
284,Surfer Girl,Set In Stone (with Jared Watson of Dirty Heads),track,Noon,11,2023-07-21
285,QUEEN BEE,01,track,01,1,2023-10-07
