,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
381,Sean Stemaly,Z71,track,Product Of A Small Town,14,2022-02-18
382,Rema,Calm Down,track,Calm Down,2,2022-02-10
383,mgk,pretty toxic revolver,track,lockdown sessions,3,2022-03-02
384,beabadoobee,Lovesong,track,Beatopia,14,2022-07-15
385,Florence + The Machine,Free,track,Dance Fever,14,2022-05-13
386,The 1975,Oh Caroline,track,Being Funny In A Foreign Language,11,2022-10-14
387,Drake,Middle of the Ocean,track,Her Loss,16,2022-11-04
388,Shakira,Te Felicito,track,Te Felicito,1,2022-04-21
389,mgk,make up sex (feat. blackbear),track,mainstream sellout,16,2022-03-25
390,ATEEZ,HALAZIA,track,SPIN OFF : FROM THE WITNESS,5,2022-12-30
391,Beyoncé,VIRGO'S GROOVE,track,RENAISSANCE,16,2022-07-29
392,Ado,Usseewa,track,Kyougen,14,2022-01-26
393,The Red Clay Strays,Moment of Truth,track,Moment of Truth,12,2022-04-29
394,salem ilese,Mad at Disney,track,(MORE) Unsponsored Content,15,2022-10-07
395,Beyoncé,COZY,track,RENAISSANCE,16,2022-07-29
396,Joji,Feeling Like The End,track,SMITHEREENS,9,2022-11-04
397,Ian Munsick,Cowboy Killer,track,Cowboy Killer,1,2022-02-25
398,Taylor Swift,Dear Reader,track,Midnights (3am Edition),20,2022-10-22
399,Vince Guaraldi,The Great Pumpkin Waltz,track,"It's The Great Pumpkin, Charlie Brown (Original Soundtrack Recording)",24,2022-08-26
400,Shakira,Monotonía,track,Monotonía,1,2022-10-19
401,Conner Smith,Take It Slow,track,Didn't Go Too Far (Behind The Songs),12,2022-01-14
402,SZA,Love Galore (Alt Version),track,Ctrl (Deluxe),21,2022-06-09
403,Diplo,Wish,track,Wish (Sped Up),3,2022-02-04
404,Benson Boone,Let Me Go,track,Walk Me Home...,8,2022-07-29
405,Charli xcx,Yuck,track,CRASH,12,2022-03-18
406,Bryan Martin,Beauty in the Struggle,track,Self Inflicted Scars,12,2022-04-29
407,Megan Thee Stallion,Plan B,track,Plan B,1,2022-04-22
408,Post Malone,Cooped Up (with Roddy Ricch),track,Twelve Carat Toothache,14,2022-06-03
409,Piso 21,Los Cachos,track,777,16,2022-10-13
410,SZA,Forgiveless (feat. Ol' Dirty Bastard),track,SOS,23,2022-12-09
411,Ethel Cain,Ptolemaea,track,Preacher’s Daughter,13,2022-05-12
412,JVKE,this is what heartbreak feels like,track,this is what heartbreak feels like (432Hz),3,2022-10-04
