,genero_musica,artista,listeners,playcount,biografia,artistas_similares
65,hiphop,Maadmax Vibes,36,44," <a href=""https://www.last.fm/music/Maadmax+Vibes"">Read more on Last.fm</a>",[]
66,hiphop,Ginge,38542,196807,"Her voice can be sultry and sharp at the same time, making her sound both sweet and spicy. GINGE is an independent artist from the Netherlands. Inspired by artists like Joy Crookes, Amy Winehouse & Snoh Aalegra, she makes songs that are a mixture of RnB, Pop, and Neo-soul.

In 2017 GINGE started writing and making her own music. Starting out with producer Clarx Kent she found the power of turning her own experiences into her songs. With the help of .multibeat she embraced her soulful side. <a href=""https://www.last.fm/music/Ginge"">Read more on Last.fm</a>","['Son Mieux', 'Alex Isley', 'Muylike', 'Vitor Brauer']"
67,hiphop,Will Smith,1569607,15049643,"Willard Christopher Smith II (born September 25, 1968) is an American Oscar winning actor and a multiple Grammy winning hip hop artist. He is one of few people who have enjoyed legitimate success in the three major entertainment media in the United States: film, television, and the music industry.

Will Smith was born and raised in West Philadelphia. He spent most of his days in a playground, training basketball and relaxing all cool. Career-wise <a href=""https://www.last.fm/music/Will+Smith"">Read more on Last.fm</a>","['DJ Jazzy Jeff & The Fresh Prince', 'Nelly', 'Kris Kross', 'MC Hammer']"
68,hiphop,locs,7821,30994," <a href=""https://www.last.fm/music/locs"">Read more on Last.fm</a>","['Neaux ID', 'Joey Aich', 'Mazen', 'Tattie']"
69,hiphop,J-Shin,9618,56021,"Jonathan Shinhoster (born in Liberty City, Florida in 1984) is an American R&B singer. He is best known by his stage name, J-Shin. He is best known for his 1999 hit single ""One Night Stand"" that featured Latocha Scott from Xscape. His debut album “My Soul, My Life” was released in 1999 and his single, “One Night Stand” scanned over 450,000 copies. Two music videos, “One Night Stand” and “I Treat You Better”, were released. He is currently <a href=""https://www.last.fm/music/J-Shin"">Read more on Last.fm</a>","['Latif', 'Bobby Tinsley', 'Razah', 'Reynard Silva']"
70,hiphop,lil Mosey,763070,19638253,"Lathan Moses Stanley Echols (born January 25, 2002), known professionally as Lil Mosey, is an American rapper, singer, and songwriter. He first gained mainstream success with his song ""Noticed"", which peaked at #80 on the Billboard Hot 100. He dropped his debut mixtape Northsbest in 2018, which was eventually certified Gold. A year later, he dropped his sophomore mixtape, Certified Hitmaker, featuring Gunna, Chris Brown, and Trippie Redd. Shortly afterwards <a href=""https://www.last.fm/music/lil+Mosey"">Read more on Last.fm</a>",[]
72,hiphop,toilet dreamzzz,8,16," <a href=""https://www.last.fm/music/toilet+dreamzzz"">Read more on Last.fm</a>",[]
74,hiphop,Supreme Allah,36,137," <a href=""https://www.last.fm/music/Supreme+Allah"">Read more on Last.fm</a>",[]
75,hiphop,FRANK MULLAH,85,146," <a href=""https://www.last.fm/music/FRANK+MULLAH"">Read more on Last.fm</a>","['Tee Thee OG from KMC', 'Blair Webster', '3IRD ROC', 'Nydia Virginia']"
79,hiphop,Lil Yachty,1393261,91809843,"Miles Parks McCollum (born August 23, 1997), better known as his stage name Lil Yachty, is an American hip hop recording artist from Atlanta, Georgia. Yachty gained recognition for his hit debut singles One Night and Minnesota from his debut mixtape Lil Boat in 2016.  In February 2016, Yachty debuted as a model in Kanye West's Yeezy Season 3 fashion line at Madison Square Garden.  On June 10, 2016 he announced he had signed a joint venture record deal with Quality Control Music, Capitol Records and Motown Records. <a href=""https://www.last.fm/music/Lil+Yachty"">Read more on Last.fm</a>","['Lil Uzi Vert', 'Young Nudy', 'Baby Keem', 'Trippie Redd']"
80,hiphop,Young Mandrilo,49,120," <a href=""https://www.last.fm/music/Young+Mandrilo"">Read more on Last.fm</a>",['Logi K']
